Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
KS Bakers,Shalu,Just Average. Ordered some 7-8 times. They could definitely improve on the food quality they deliver. Food quality is always below average. Fast food is Terrible here. They don't know how to make fast foods. Pastries could be considered.,2,5 Reviews,5/24/2019 23:48,0,
KS Bakers,Sravya,very good and had ultimate taste of the cake. It was too good and my friend was so happy for her birthday cake which was so tasty and yummy. The packing and quantity is also too good The delivery boy was also polite,5,"8 Reviews , 1 Follower",5/13/2019 20:01,3,
KS Bakers,Abu Bakker Siddik,"I had ordered 5 chicken tikka burger from KS bakes. The burger was super sweet, something one would not expect from a chicken tikka burger. Also the chicken was not cooked well, and didint seem tikka pieces any way. The bread was sweet and had a sweet fragrance to it. I don't know if it's their speciality to serve sweet burgers, but I didn't liked it a bit. It was my 1st burger order from K s bakes and I would not recommend anyone to order burgers from there. Not sure if it was a one off thing but all the burgers were sweet. 😅 Quantity was good though.",1,"3 Reviews , 29 Followers",5/11/2019 19:27,0,
KS Bakers,Trendy Foodie,I ordered veg samosas and egg puffs from this outlet. Samosa for some reason had kabuli chana in it although taste was fine. Egg puffs were stale and not so good in taste.,3,"20 Reviews , 3 Followers",4/4/2019 17:32,0,
KS Bakers,Saraswati Jeswani,Awsome food at very reasonable price. Must try Masala French Fries.. Beeesssttt fries.. Try Kitkat pastry and Oreo Pastry. Best taste food..,5,"1 Review , 4 Followers",3/15/2019 8:14,0,
KS Bakers,Arpit Kumar Jain,"I ordered Paneer cheese pizza and veg boat from here. Both were pathetic. They don't know how to make pizza.
It was smelling bad and taste was really shitty. Plus there was no seasoning.",1,"6 Reviews , 6 Followers",3/12/2019 22:22,0,
KS Bakers,Samashrita Beeram,Ordered a veg cheese grilled sandwich and a veg burger with extra cheese.. Inspite of cheese it was lot of mayonnaise with awful taste.. the sandwich’s wasn’t even proper and thee food was stale.. never will try the place again.. couldn’t have the food more than a bite,2,"1 Review , 16 Followers",2/23/2019 19:20,1,
KS Bakers,Nillu,I have visited several times for cake . Here you will varieties of cake as well different kind size also ..... and test of the cake also awesome ....,5,"17 Reviews , 9 Followers",2/10/2019 23:59,0,
KS Bakers,Johan Clive Ramos,"KS Bakers stick to the tried and tested spread of options - pastries and quick snacks. They have a wide variety of baked pastries and burgers along with cakes too.

Their space in Gachibowli is quite roomy yet simple. On the whole, a must visit if you want to receive quick service and decent food.",3,"46 Reviews , 132 Followers",2/5/2019 1:36,0,
KS Bakers,Yash Sheth,"I really like this place for its pastries, cakes and biscuits. I see it a real competition to other bakery in the area. My favourites are bournvita cookies and pastries and also choco almond pastery. I would personally feel that their fast food or snacks could be improved in taste and the way it is served. Also I personally do not like it self service scheme here. This does not mske you feel privileged as you feel when you are entering the shop. Also, its announcement system is too bad. Makes you feel like on a railway station. Hence stars cut as these are part of ambience.

Overall the products are good and one can always try them. Prices are midway and therefore acceptable.",4,"59 Reviews , 182 Followers",1/31/2019 23:04,2,
KS Bakers,Khushboo Pandey,"Quallity- 5/5: They have a special taste, a special cream which makes it better, burger and sandwich are a must try
Quantity- 5/5: 
Ambience:3/5- from there side they have arranged but i think because of rush , the tables would mostly be dirty other things are good
Value for money: 6/5, ofcourse it is a value that big burger with 50 rupees is a steal.",5,"59 Reviews , 42 Followers",1/2/2019 22:41,2,
KS Bakers,Satish Ch,"ordered veg hot mexican pizza, Blueberry pastry, Butterscotch pastry from KS bakers.
Both the pastries were too good and coming to pizza it didn't had much toppings even though taste was good...and all the items were very well packed.Received potato chips though not given in the order...seems like its complimentary.",5,"9 Reviews , 7 Followers",12/29/2018 23:59,3,
KS Bakers,Sai Krishna,Ordered paneer tikka pizza through swiggy...what a taste!!!!! Yummy..Thank u ksbakers..better order 1 pizza for two people.their pizza size is big,5,1 Review,12/25/2018 13:16,0,
KS Bakers,Asraahmad22,"A decent bakery with a ready-made cake delivery option at short notice, which has come to rescue many times.
Their chocolate truffle cake is pretty good.",3,"9 Reviews , 6 Followers",11/25/2018 23:36,0,
KS Bakers,Rajendra Varma,"Ks bakers is the best place for getting or for etting pizza.
They are providing the nice pizza .
They taste well and good so everyone can try that pizza's .",4,6 Reviews,11/25/2018 16:04,0,
KS Bakers,Himakar Yv,"A new place that slowly turned out into a hangout eatery for people with shallow pockets. The lighting & ambience is warm . I love eating the chicken roll that hardly costs 35 bucks . A burger costs only 70. Lot of University students depend on KS for a cheap dinner delivery. You get free chips with everything you order .
But personally I felt the cheese they use is a bit weird & about sweet for the taste of a traditional Pizza hut afficianado.",3,"49 Reviews , 284 Followers",10/20/2018 12:21,1,
KS Bakers,Sunny Daniel,KS Baker's is good for their burgers. Bread is very soft and prices are very reasonable. Cakes and cookies which is get here are great. Good place to go for the evening snacks,4,"17 Reviews , 215 Followers",10/15/2018 12:01,0,
KS Bakers,Kiran,KS Bakers has several branches in Hyderabad and I visited Gachibowli branch. It was good place to visit on weekends with friends or family and food was awesome. I ordered several times from this Bakers and every time the food was as expected.Overall food was tasty and it is budget friendly.,5,"8 Reviews , 3 Followers",10/9/2018 20:10,0,
