Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
Urban Asia - Kitchen & Bar,The Food O’Clock,"This place is highly recommended. It is working with Eat India Company under the same roof, may be kitchen as well. Basically u ca order any of the two’s menu from one table. Eat India Company has Indian food while Urban Asia has asian food like chinese, thai food, etc.

We ordered The Real Bangkok Basa, Chef/Subba’s secret recipe noodles and Sanghai Fried Rice from Urban Asia.

The Real Bangkok Basa- It tastes so good. It was steamed Fish and mixed with some green sauce. Taste was 5/5 .

Subba’s secret recipe noodles was gravy noodles with lots of veggies, mushroom, chicken. Taste 5/5

Sanghai Fried Rice was a mixed of noodles and rice in which noodles was more than the rice. Taste was 5/5

Service 4/5, little bit slow in bringing food.

Ambiance 4/5",5,"26 Reviews , 13 Followers",5/25/2019 20:23,0,
Urban Asia - Kitchen & Bar,Ravi Shankar Gupta,We had evening dinner at this restaurant. Food was delicious. We had Chinese as well as north indian. Both were delicious. I recommend for weekend food with family here,5,"1 Review , 1 Follower",5/24/2019 23:23,0,
Urban Asia - Kitchen & Bar,Rajshekher. 92,"The staff is kind and I think that's the moto of the Restaurant. The food is delicious, and there is the option for buffet and Alacarte, so we choose buffet which every thing they served on the table, which is really a good thing for me because I went with my parent. Coming to the food special I like the most, corn cube, prawn, fish, and yes ofcourse murgh angara..the staff cares about all its customers and are polite, just amazing..
Food 4.5
Ambience 3.5
Service 5
Diffenitly will be back with my team cheers..",5,"1 Review , 1 Follower",5/24/2019 2:03,0,
Urban Asia - Kitchen & Bar,Vamsi Krishna,"Came here on a Thursday evening for dinner only to be served the worst quality food. The service was absolutely terrible... no air conditioning in the sweltering heat ... after multiple requests we got our food ( literally begged for the food to be served)... what’s not there on the buffet menu also they don’t tell the customer... the main course was served cold... pre-scooped ice creams.. and what not

Some mango juice they served... don’t know how that was drinkable ....

Worst decision to spend our evening here .. absolutely terrible experience

Giving one star because I can’t give -5

FOOD = -100/5
Service - can’t put a negative number that high
Ambience - no air conditioning on a summer evening
Price — not worth even 1/5th",1,"3 Reviews , 6 Followers",5/23/2019 21:41,0,
Urban Asia - Kitchen & Bar,Arunraj R,I ordered a Thai curry which is to die for . The waiters were so polite. The best thing in this place is that it's calm and quiet. It's a good place to relax and enjoy great food.,5,"10 Reviews , 64 Followers",5/21/2019 23:03,0,
Urban Asia - Kitchen & Bar,Aditya Rastogi,"The place is not worth going. Too overrated and over priced. From starters to desserts, the food is not worth the money and not tasty. They don't charge properly for Zomato gold, you have to check the bill carefully for the items deducted under gold 2+2. I would rate the place as:
Food- 2/5
Ambiance- 3/5
Service-3.5/5
Value for money- 2/5",1,"39 Reviews , 530 Followers",5/12/2019 23:27,0,
Urban Asia - Kitchen & Bar,Yashwanth Kota,"Simply the best Asian restaurant in the city. So fresh and lively food. This will enhance your health as well. I am vegetarian and I like the way they decorate and combine the veggies. Must try corn cubes, vegetable pan fried noodles. 4 star for the service which needs improvement.",4,"29 Reviews , 61 Followers",5/7/2019 15:26,1,
Urban Asia - Kitchen & Bar,Radhika Burra,"This is my second visit to this place. Like the Ambience much and cool place to chill out. Had been there along with a friend for dinner. We didn't want to go for Buffet for sure, so it was ala carte.

Angara Murgu Kabab, Rara Ghost and Butter Naan... Starter was with much salt and lemon... Rara Ghost is nice, perfection at it's best... Was a good combination with Butter Naan...

Service was very nice and as I said earlier nice ambience...",3,"78 Reviews , 76 Followers",4/28/2019 19:16,4,
Urban Asia - Kitchen & Bar,Pushkar Shah,"Visited Urban Asia based on their rating and reviews. However, we were utterly disappointed. We visited the Gachibowli location of the restaurant and it is clubbed with East India Co. The waiter handed us the ""Signature"" menu and that is when the ordeal began. Most of the signature dishes were unavailable. It was surprising since it was a Saturday and I assumed that the restaurant would be well prepared to handle something important as their Signature Menu. Eventually, we had to settle for the buffet which was priced at 650++. Overall a disappointing evening.",3,3 Reviews,4/26/2019 10:04,0,
Urban Asia - Kitchen & Bar,Bhavani Sankar Raju Machiraju,We have been there for team dinner for a buffet. Ambience is good. Food is decent but serving is not at all good. You can neglect this as we have lot of options aroubd Gachibowli,3,"16 Reviews , 11 Followers",4/15/2019 14:54,1,
Urban Asia - Kitchen & Bar,Nag Vamc,This is one of the favourite food spots in Jubilee Hills but this outlet they have started in Gachibowli too been here with cousin..checked out Menu for having different thing and ordered starter Corn and Cheese Crudettes in smoked Butter Garlic..it was really yummy and the best starters I had in recent times and had Aamir’s and Gautam’s Anda Bandi Fried the name itself was catchy..Taste was also perfect..was spicy and Yummy,4,"62 Reviews , 116 Followers",4/11/2019 2:32,7,
Urban Asia - Kitchen & Bar,Thejoyoffood,"Amongst the so many options now available for dining at Gachibowli, Urban Asia is difficult to ignore both for location and food. Getting in there if you are driving can be tricky sometimes since there is too much traffic in a narrow lane. However, they have a valet in the basement and you can park there and head over to the 4th floor which actually is a mix of a few restaurants. The place offers both buffet and a-la-carte options and you could choose what you like. We ordered Pad Thai noodle and chilly Tofu. I have not had such soft and delicious todu in a long time and was happy to have given that a shot. Moreover, the portion size was fairly decent. The Pad Thai tasted slightly sweet to my wife's liking but again flavoursome and good portion. The place was quiet and you could enjoy your food in peace. The staff is courteous and service is prompt.",4,"174 Reviews , 230 Followers",4/9/2019 13:41,0,
Urban Asia - Kitchen & Bar,Durgesh Thakur,"Used to be a frequent visitor at this place. Was total disappointed yesterday night . Food was aweful to taste. Chicken starter in bean sauce was bitter in taste. They we're serving what they deemed fit for us and not as per our order. Chicken lababdar was wanting in taste, fennel seeds were used and curry was as thin as a soup , no one was nearby when serving were required. Service is what we look forward to when dining in your restaurant.Either there was change in chef or some other temporary issues. Hope it would be fixed soon and we will not be disappointed when dining next time with our friends.",5,"2 Reviews , 1 Follower",4/7/2019 21:07,0,
Urban Asia - Kitchen & Bar,Francissalethu,The place has the best Asian food options. The nasi Goreng here is authentic and taste like it not like other restaurants where they just give u fried rice. The pork fried rice is very tasty as well.,4,"4 Reviews , 5 Followers",4/3/2019 11:12,0,
Urban Asia - Kitchen & Bar,Tinni Ghosh,"I went to Urban Asia on a date and we had planned to have sushi. Sushi was not available at all. We were heartbroken. ""Sorry Sir"" became the theme that night. Date went dull.",2,"74 Reviews , 1134 Followers",3/27/2019 11:00,0,
Urban Asia - Kitchen & Bar,Arka Majumder,"The staffs are very Friendly and polite... This is one of the best Chinese restaurant in Hyderabad, i suggest this place to all the people who love authentic oriental cuisine.",5,"5 Reviews , 113 Followers",3/26/2019 21:10,0,
Urban Asia - Kitchen & Bar,Peri,"Ambience is just decent, but The food is justtttt mouth watering!!!Have tried Nyonya- it was heaven....A must try dish!! The signature dishes are the best..",5,"8 Reviews , 8 Followers",3/25/2019 22:00,0,
Urban Asia - Kitchen & Bar,Supraja.prasad,"Visited on a weekday for a quick dinner. Ordered the Kung pao chicken , mojito and schezwan noodles. Food was very delicious especially the king pao chicken. Will definitely go back to explore more.",4,"62 Reviews , 189 Followers",3/22/2019 21:49,0,
Urban Asia - Kitchen & Bar,Apoorva Idya,The food was not made well and the service needs a lot of improvement. The pad thai was too sticky and the thai green curry was very watery. They didnot have ice to make drinks and we were kept waiting for a very long time for the bill. The outlet needs better management. Unhappy with my visit here.,1,"9 Reviews , 2 Followers",3/22/2019 14:43,0,
Urban Asia - Kitchen & Bar,ThePanda,"We have been to Urban Asia - Kitchen & Bar, Gachibowli. We ordered crisp noodles (shrimps) with sweet and sour sauce which was obviously a wrong choice. Crispy noodles is never a right choice (at least for me) wherever you go and sweet n sour soup with shrimps just made it worse. I am a seafood lover and the quantity and size of shrimps didn't justify its price. Next was Standing Pomfret dish in schezwan sauce...which turned out to be a disappointment. Who prepares pomfret in all-purpose flour? It was not good at all.",1,"8 Reviews , 9 Followers",3/4/2019 20:44,1,
Urban Asia - Kitchen & Bar,Shreyasi Pal,"Love this place for food. I recommend Tamang chilli chicken , heaven on a place . Hakka noodles not so impressive. I always go for à la carte . Buffet menu not so tempting. Staffs are courteous and service is good .",5,"11 Reviews , 31 Followers",3/2/2019 18:32,3,
Urban Asia - Kitchen & Bar,Ananth Popuri,"Food is very nice, especially chilli lamb and honey chilli potato is amazing. Good thing with this restaurant is it consists of three different menus, the thing I'm saying is we can eat three different restaurants menu food in single place. Drinks collection is also good.",5,"12 Reviews , 4 Followers",2/26/2019 22:45,0,
