Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
Zing's Northeast Kitchen,Rajasi,"The food is toooooooooo good. The interior and the ambiance both are very cozy. Only the staffs could have been a little more attentive.
The wash basin and toilet should have been as neat and clean as the restaurant.",4,"6 Reviews , 2 Followers",5/22/2019 17:47,3,
Zing's Northeast Kitchen,Neha Roy,The food is too good. The place is very cosy and will give you a homely vibe. People there just welcome you with a big heart and a broad smile. I’m in love with this restaurant.,4,"34 Reviews , 152 Followers",5/22/2019 17:37,1,
Zing's Northeast Kitchen,Yogender Pal,Excellent food but the service sucked !! The staff there are just not interested and they act as if they do a favour to you!! I might only go there for the food only !!,2,"2 Reviews , 356 Followers",5/19/2019 15:13,0,
Zing's Northeast Kitchen,Kate Midelton,"After so many of goody goody excellent reviews I been there n i was very excited to taste the foodz I was missing northeast taste🤤 but sorry to say it was not upto the mark it was ok chalega type , being a northeast I know wat it should taste",2,"10 Reviews , 1 Follower",5/13/2019 14:52,0,
Zing's Northeast Kitchen,Syed Faraan Ahmed,"This place has always been polite and friendly, the lady who has been taking care of this place is like a superwoman.. who make sure that no one goes unhappy..no matter how busy this place is that lady always have a happy to serve expression.. i always come to this place on my off days.",5,"2 Reviews , 20 Followers",5/5/2019 21:02,0,
Zing's Northeast Kitchen,Debopam Majumder,"The best place in Hyderabad to have Pork and beef together. Amazing taste & quality of meat, a paradise for north eastern cuisine lovers, Zing's serves large varieties of non-veg dishes in a pocket-friendly budget. Just a reminder, this is not a place to have vegeterian foods. I have read many reviews explaining how the vegetarian people were apalled by the smell of raw/ cooked meat while visiting this restaurant. They are very misleading and misinformative. First of all, you shouldn't be here if you are looking for veg momo or veg fried rice. Period.
I tried almost every pork starters and every mocktails available in their menu. Not once I have been disappointed. Every food items is tasty enough to deserve 5 rating.
The one little place for improvement could be to increase the number of staffs. Due to excessive demand, they find it difficult to cater to everyone at the same pace, hence you'd find many reviews telling how their service is slow, how people waited for 1 hour after ordering for food to show up. Personally, i've never experienced such delay.

P.S. They cook amazing Ramyun Noodles.",5,"13 Reviews , 141 Followers",5/5/2019 15:36,4,
Zing's Northeast Kitchen,Kunal Dutta,"Very authentic food, different from what you get elsewhere in Hyderabad. Their dumplings, pork ribs, beef fry, everything was awesome. Great job !",5,"4 Reviews , 5 Followers",5/5/2019 13:47,0,
Zing's Northeast Kitchen,Soumith,"This place has been a bookmark for me since very long as there are only few places which can serve pork. After seeing all those positive reviews in Zomato, I decided to give it a try.
I along with 3 of my friends went on a Friday Eve to this place.

Appetizers :

1. Deojikalbi : This is a pork appetizer, we loved it very much and repeated the order. For the second time, we asked the restaurant staff to increase spice levels in the dish which turned out to be really delicious.

2. Pork ribs : I did not enjoy this dish really much. Meat was tender but the sauces they used did not satisfy my taste buds. I dunno if north-east people love this type of food but it's ok, it was my first time.

3. Pepper chicken : Due to unavailability of lemon grass chicken, we had to order this appetizer. Taste was good , nothing fancy.

Main Course :

1. Ramyun with Pork : we ordered 2 rumyun with pork, taste was good but we liked the other dish which we ordered.

2. Soba noodles with pork and veggies : This dish tops the list. Luckily, I am the one who ordered this dish and my friends were having ramyun.
Soba noodles have a dark sauce and intense taste compared to ramyun. If tasted really delicious. I cannot say how perfect this dish is.

3. Naga-chicken rice : When restaurant staff placed this dish on our table, I saw chicken was undercooked. I asked the same to them, they said this is how north-east people like to eat, a bit chewy. I thought chalo let's try it, but chicken was so chewy that it's taking 5 minutes for me to complete a small piece of it.
I was disappointed with this dish.

Overall experience :

Food : 3.5 / 5
Service : 3/5 ( it was too slow)
Ambience : 3.5 / 5 (cute lil place but gets crowded on weekends)

I will definitely recommend this place to everyone. Sometimes we need to surprise our taste buds with some new cuisine 😜😋 and this place has got delicious food too.",4,"25 Reviews , 19 Followers",5/5/2019 12:17,1,
Zing's Northeast Kitchen,Gyan,"The authentic taste of North East Indian delicacies, one will find here with mouthwatering dishes. Good place good location. But the quantity of food per dish served is little smaller.",4,"30 Reviews , 12 Followers",5/2/2019 19:48,0,
Zing's Northeast Kitchen,Bastab Chakraborty,"Couldn't resist posting this review. Has been visiting this place since the time it opened - has been there multiple times. Never before felt this urge of posting a review since the food always stood out and dominated the service.

But nothing changed over the time in terms of service, rather it's turned worse over time. There can't be an excuse of quality of food in exchange of service. If food is the only yardstick, they fail to beat that as well. Dishes are pretty authentic but equally monotonous in taste.

As a customer, I would rather not visit to wait for two ordered dishes for an hour. Worse food that can be had sooner is always better than slightly better food with infinitely worse service.",2,"36 Reviews , 95 Followers",5/1/2019 22:38,0,
