Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
B-Dubs,Srishti Dubey,"The best place to be if you want to see some sport screening.
What I really liked about the place is they have round about 42 screens and no matter where you sit you will have 5-6 screens which will be clearly visible.
No fight or waiting to get place near to the screen.

We went here during IPL screening.
It was really a great experience.

What we had ordered was ultimate nachos,chicken wings with Chipotle sauce and pizza.

Everything was really delicious.

Portion were quite good for two.

I feel it's bit over priced but worth it..!!

Service is excellent,staff is very warm and friendly.

4.5/5 :)",5,"34 Reviews , 113 Followers",5/25/2019 10:48,1,
B-Dubs,Shanthi,"This was the best time what I have spent in Hyderabad.....A man called sunny ....remember the name ""sunny"".....Go there and ask for ""sunny"" ..if u get him , u will have the best day. !",5,1 Review,5/24/2019 23:01,0,
B-Dubs,Sri Vachan,Sai Raj is really great with his servicing and attidue over serving. He is such a nice guy. I was really happy with my time in bdubs.Thank you sai raj,5,"1 Review , 1 Follower",5/24/2019 19:58,0,
B-Dubs,Shravanrajreddy36,"Polite and good hospitality, Sai raj was very humble and hospitable.
He helped a lot and served very well. Stood patiently and was a great sever.",5,"1 Review , 1 Follower",5/24/2019 19:57,0,
B-Dubs,Vicky Vikas,"Nice place wing n food really good
Sauce were very tasty we had some iced coffee and the ultimate nachos were awesome and thank you very much mr praveen yadav helped us a lot and was very friendly with us..this place is highly recommended...",5,"1 Review , 4 Followers",5/23/2019 22:32,0,
B-Dubs,Samyboy29,"Good food . Good service. Praveen, special thanks to you

The Mutton burgers are real good . Like the hot wings too. Quite a lot of good sauces to try em with",5,0 Reviews,5/23/2019 22:26,0,
B-Dubs,Preethi P,"BDubs continues to be on top in the race of Buffalo fried chicken. The pizzas, burgers, desserts are equally good. The service is friendly and fast. The ambience is amazing and private. The prices are fine. Neither too cheap nor costly. I personally enjoyed my experience and I'll probably visit again. I'll recommend this place specially for parties.",4,"32 Reviews , 20 Followers",5/22/2019 1:39,0,
B-Dubs,Varun Nischal,"Buffalo wings were excellent as always. I have been here multiple times before and Praveen has served on most of the occasions.

Thanks Praveen for exceptional service.",5,"17 Reviews , 65 Followers",5/20/2019 0:09,0,
B-Dubs,Rovina Sequeira,Awesome service and ambience...Praveen helped us with the food choice which turned out to be good..the virtual reality games and Ps games are add ons ..looking forward to visit this place with friends and family again,5,1 Review,5/18/2019 22:32,0,
B-Dubs,Priyanka Loka,Very good food.. had a great time at Bdubs. We specially enjoyed the buffalo ranch chicken burger.. yummy it is. And the roller coaster ride with Virtual reality is a great experience for the first timers.Thanks Adil :),5,"1 Review , 3 Followers",5/16/2019 15:08,0,
B-Dubs,Rahul Uttamchandani,One of the most amazing chains for Non Veg lovers and sports freak! There are gaming consoles all over the place and a lot of fun to spend time with friends and family. Highly recommended!! #Triedtheblazinchallenge,5,"11 Reviews , 31 Followers",5/15/2019 21:32,1,
B-Dubs,Suhas Reddy,The staff really nice and wing with the hot sauce was yammy mocktails was raelly good all the i recommend this place to every one who love wings... speciall the service is unparalled Mr. Praveen keep it up...,5,"2 Reviews , 332 Followers",5/15/2019 19:10,0,
B-Dubs,Akshay Rao,"Lipsmacking food ,wings with variety of sauces
Basil grilled fish was really good and chicken pizza was perfect with thin crust and my favourite cheesecake bites
Danger zone - blazin sauce and should try it for spicy thrill
Thanks to bro sunny for serving us",5,"1 Review , 2 Followers",5/14/2019 23:54,2,
B-Dubs,Ashish Tummalapalli,"Wonderful place to chill-out with buddies and can have fun part with PS4 gaming
Food is really awesome and they have different sauces ,blazing is really hot should give a try
Sunny was with us to entertain and giving good experience of bdubs",5,"2 Reviews , 2 Followers",5/14/2019 23:44,0,
B-Dubs,Nikhil Raj,"Was my first visit and it was awesome experience given by sunny...really thanks to him for serving us with joy and helping us in dish selection and sauce tasting
Nice place to hangout with friends and have fun with games",5,"1 Review , 2 Followers",5/14/2019 23:39,0,
B-Dubs,Ganeshporika59,Came to bdubs for the IPL final and we really felt like we were in a stadium and the commetry was well played by playing songs in the breaks ..and the service was really awesome by Prabhu and Praveen..thnku guys,5,1 Review,5/12/2019 22:53,0,
B-Dubs,Venu Gopal Reddy,"Had a wonderful time at bdubs Gachibowli
Stadium feeling with great delicious food and drinks
Thank you Praveen YADAV was god with his service
We will visit again for sure",5,"1 Review , 29 Followers",5/12/2019 22:47,0,
B-Dubs,Lalitha,Awesome food and best service I have ever seen. Sunny was very polite and provided best suggestions regarding the dishes here. Worth visiting this place.,5,"1 Review , 1 Follower",5/12/2019 16:46,0,
B-Dubs,Avyank,Great staff #Bharathi has given her best in her service. Good food and great service. Kudos to the management and staff. I would recommend it to friends and family.,5,1 Review,5/12/2019 15:12,0,
B-Dubs,Krubankumar2991,This is a place to enjoy and chill out. If you want to celebrate your birthday please do come here.best place. The service here is fantastic . We were were well treated by Mr praveen. Felt very special here,5,"1 Review , 1 Follower",5/12/2019 0:09,0,
B-Dubs,Praneeth Reddy,Lovely place and good food. Very good service provided by Bharthi. The taste of the wings is similar to one you get in US. It would be good if they had some tap beers.,4,1 Review,5/11/2019 16:00,0,
B-Dubs,Kasi Vaibhav Ganta,"Very friendly team. Praveen helped us whenever needed. Good vibe . We watched IPL here
If yu like something spicy try options with blazing sauce.....👌👌👌👌👌",5,1 Review,5/10/2019 22:34,0,
B-Dubs,Ved Mulkalwar,"This is a very overhyped and overpriced place.
The wings are small in size and very shrivelled and the sauces are not that great too. The Jalapeño poppers we undercooked and nachos were very bland. They just have ps4 games and thats the only decent reason to spend any time there.",1,"5 Reviews , 4 Followers",5/10/2019 1:21,0,
B-Dubs,Anoushkaa,The food was amazing and the staff was very sweet. Prabhu Reddy and the captain were being really nice and were making sure that we we're comfortable.,5,"1 Review , 1 Follower",5/9/2019 21:10,0,
B-Dubs,Nrusimha Akundy,"Polite and friendly and service is awesome and I loved the ambience. Sunny served us well and I loved being here for the time spent. As part of Deloitte party evening, we loved to be here. Thank you sunny for the good service.",5,"1 Review , 14 Followers",5/8/2019 23:28,0,
B-Dubs,Vasu Chander,"It's my first visit with my team Deloitte,happy with the place, their food and service by sunny was quite friendly
Their unique food , wings are awesome
Highly recommended place in it sectpr",5,"2 Reviews , 11 Followers",5/8/2019 23:19,0,
B-Dubs,Raviteja Yadav,"Nice place for a team parties
Wings are excellent ,tried with different sauces like Thai curry and spicy garlic which I liked most
Place was really cheerful with plenty of screens and polite staff adds to it , sunny served us and given good time",5,"2 Reviews , 3 Followers",5/8/2019 23:08,0,
B-Dubs,Charan,This evening visited bdubs and the food was really good and the friendly service provided by Prabhu and his team was good ...really had a good experience watching IPL ...,5,"1 Review , 1 Follower",5/8/2019 23:01,0,
B-Dubs,Harish Kumar,"Thanks to team bdubs for giving us a wonderful time
Server sunny was taking care of us and he made sure we had a cheerful and enjoying moment
Food served was hot and delicious",5,"1 Review , 1 Follower",5/8/2019 22:59,0,
B-Dubs,Golla Koushik,Awesome place for corporate parties ..trust me guys u will love it..especially the service provided is awesome and the food ...chicken wings are really hot and must try thank u Prabhu for ur amazing service,5,"1 Review , 7 Followers",5/8/2019 22:58,0,
B-Dubs,Vamsi Krishna Chinnu,The food was awesome especially chicken wings and we enjoyed a lot and thanks to all the staff especially Prabhu and Jenny for being very attentive and for ur best service.. thanku bdubs,5,"1 Review , 26 Followers",5/8/2019 22:54,0,
B-Dubs,Abhishekdesai.166,It's good place. Had a good gaming experience. Crazy place to hangout for any sports event. Also gaming experience is amazing on x box. Should try out once,5,"9 Reviews , 3 Followers",5/8/2019 22:54,0,
B-Dubs,NAGUBANDI ANOOP 14BEC0308,The party was great...the food was awesome and the best place for corporate parties...Prabhu took really good care of us and his service was very good,5,1 Review,5/8/2019 22:51,0,
